CASENO,COMPANY,FUNCTIONAL_GROUP,FUNCTION,FUNCTIONAL_AREA,FUNCTIONAL_LOCATION,FUNCTIONAL_SUB_LOCATION,LOCATION_SID,LOCATION_SHORT,COUNTRY_SHORT,SL_COUNTRY,SL_LOCATION_LVL_1,SL_LOCATION_LVL_2,SL_LOCATION_LVL_3,SL_LOCATION_LVL_4,CASE_OCCURENCE_DATE,TITLE,COMPANY_INVOLVED_TYPE,CASE_TYPE,CASE_SEVERITY,CASE_DESCRIPTION,STATUS,HAZARD,IMM_ACTION_TAKEN_RECOM,FULL_INVESTIGATION_DONE,CREATED_DATE,MODIFIED_DATE,APPROVED_WITHIN_DEADLINE,CASE_CLOSED_DATE,CASES_NO_OF_REGISTRATIONS,VALID_FROM,VALID_TO,POTENTIAL_SEV_LEVEL,RISK_AREA,LEARNINGS_ACTUAL_SEVERITY,LEARNINGS_POTENTIAL_RISK,title_length,description_length,combined_text_length,title_word_count,description_word_count,combined_word_count,binary_label,text_features
55731,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),CDCPK (75001387),Business Support CDCPK (75001619),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,06/05/2025,Insufficient PPE being worn in laboratory.,Uniper employee,Safety,Observations,Person not wearing safety glasses nor safety gloves during a chemical testing procedure.,Processing,"Hazardous substance, which is non-toxic, non-CMR substance (carcinogenic, mutagenic, reproduction toxic)",Requested for safety glasses to be worn immediately and obtained a new box of gloves from stores.,Investigated,06/05/2025,1764979200000.0,-- Not selected --,,1.0,00/01/1900 00:06,00/01/1900 00:00,Very low,Low Risk,Not Applicable,Low,42,88,130,6,13,19,0,Insufficient PPE being worn in laboratory.. Person not wearing safety glasses nor safety gloves during a chemical testing procedure.
54924,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Energy Assets (75000907),Energy Storage (75000932),Operations UK (75001368),SHEQ (75001675),25232,HGSL,UK,UK,Energy Storage,Holford,,,08/04/2025,Struck building with digger,Contractor,Asset and Reputation damage/loss,Near Hits,Works ongoing to dig out drainage channels next to building. Digger swung round and caught edge of the building.,Closed,Moving vehicle,Contractor raised incident with ERSHE. Replacement facade for building purchased.,Investigated,09/04/2025,1764892800000.0,-- Not selected --,12/05/2025,1.0,00/01/1900 00:06,00/01/1900 00:00,Very low,Medium Risk,Not Applicable,Low,27,112,139,4,19,23,0,Struck building with digger. Works ongoing to dig out drainage channels next to building. Digger swung round and caught edge of the building.
55896,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Energy Assets (75000907),Energy Storage (75000932),Operations UK (75001368),SHEQ (75001675),25232,HGSL,UK,UK,Energy Storage,Holford,Scholven,,30/04/2025,Contractor smelling of alcohol,Contractor,Safety,Observations,During CDM induction contractor presented smelling of alcohol and was notably struggling to keep eyes open throughout.,Closed,Hazardous substance biological (Eg. naturally occurring respiratory and skin sensitisers / irritants / poisons),Contractor removed from site. Rest of contract company spoken to and reminded of obligations.,Investigated,12/05/2025,1764892800000.0,-- Not selected --,12/05/2025,1.0,10/06/2025 10:06,12/06/2025 10:05,Medium,Medium Risk,Not Applicable,Medium,30,118,148,4,17,21,0,Contractor smelling of alcohol. During CDM induction contractor presented smelling of alcohol and was notably struggling to keep eyes open throughout.
43529,Uniper Group (70006651) - Penspen,COO (70017898),Asset Operations (70017927),CCGT (70017930),Enfield UK (70019209),Maintenance (70019370),8135,PP ENF,UK,UK,Gas Turbine Fleet,Enfield,Enf.,,20/03/2024,"New Aerial photographs have revealed that a land owner has built a barn in close proximity to the Enfield pipeline
Extended due to external investigation DWH/05/2024",Contractor,Asset and Reputation damage/loss,Observations,"While reviewing pipeline ""fly-by"" images it has been determined that a land owner on a rural section of the pipeline has built a large barn in close proximity to the pipeline. An access road and what appears to be a parking area crosses the pipeline.",Approved,Fire / Heat,"Information on findings sent to land/legal team for review and follow up with the land owner.
Penspen carrying out internal investigation.
Penspen arranging for urgent pipeline integrity testing to be carried out.",Investigated,22/03/2024,1764892800000.0,No,,1.0,15/05/2025 14:05,21/05/2025 10:06,Very high,Medium Risk,Not Applicable,Severe,165,250,415,26,45,71,0,"New Aerial photographs have revealed that a land owner has built a barn in close proximity to the Enfield pipeline
Extended due to external investigation DWH/05/2024. While reviewing pipeline ""fly-by"" images it has been determined that a land owner on a rural section of the pipeline has built a large barn in close proximity to the pipeline. An access road and what appears to be a parking area crosses the pipeline."
49329,Uniper Group (70006651) - -- Not selected --,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),CDCPK (75001387),Engineering (75001620),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,07/10/2024,CW Discharge Pipework Failure,Uniper employee,Process Safety,L5,CW Discharge Pipework failure. Main CW pimp Inservice and unit shutdown at time of failure. Water was seen coming up from ground in area of previous CW pipework discharge repair.,Closed,-- Not selected --,"Main CW pump immediately shutdown, final discharge pumps shutdown preventing discharge from site. Informed Production Day Leader and Maintenance team Leader. Vents opened on PGB Coolers PCB side. Access to area remained controlled under CDM.",Investigated,07/10/2024,1764892800000.0,No,12/05/2025,1.0,00/01/1900 00:05,00/01/1900 00:00,High,Medium Risk,Severe,Medium,29,178,207,4,30,34,1,CW Discharge Pipework Failure. CW Discharge Pipework failure. Main CW pimp Inservice and unit shutdown at time of failure. Water was seen coming up from ground in area of previous CW pipework discharge repair.
54045,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Production Team (75001616),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,19/03/2025,Stormwater pumphouse 1 & 2 building front elevated panel hanging off. PEM120,Uniper employee,Safety,Observations,"Report from contractor that the stormwater pump-house 2 building front elevated panel is hanging off and deemed unsafe.

SWPH 1 has also found to have a loose panel.",Approved,Fall from height (Eg. Vertical drops from above or to below ground),"Immediate action was to barrier the area off to protect personnel, create a PEM120 to restrict access, raise a notification to have a repair plan created.",Investigated,19/03/2025,1764892800000.0,Yes,,1.0,12/05/2025 12:06,19/05/2025 08:05,High,Low Risk,Not Applicable,Medium,76,165,241,12,28,40,0,"Stormwater pumphouse 1 & 2 building front elevated panel hanging off. PEM120. Report from contractor that the stormwater pump-house 2 building front elevated panel is hanging off and deemed unsafe.

SWPH 1 has also found to have a loose panel."
55886,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy S&B (75000928),Ratcliffe (75001389),Decommission (75001567),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,12/05/2025,Corroded Plating,Uniper employee,Asset and Reputation damage/loss,Observations,"The outfall point is surrounded by a handrail and has plating covering it. The plating is severely corroded. This is a public access way and presents a drowning risk to minors.
The bushes should be cut back and the outfall pit properly covered in secure plating to prevent minors from falling in. Any child crossing the handrail would fall into the weir pit.",Processing,Slip / Trip / Fall (at the same floor level and on stairs),Notification 21553808 raised and assigned to mechanical team.,Not investigated,12/05/2025,1764892800000.0,-- Not selected --,,1.0,12/05/2025 10:05,14/05/2025 10:06,Medium,Medium Risk,Not Applicable,Medium,16,358,374,2,63,65,0,"Corroded Plating. The outfall point is surrounded by a handrail and has plating covering it. The plating is severely corroded. This is a public access way and presents a drowning risk to minors.
The bushes should be cut back and the outfall pit properly covered in secure plating to prevent minors from falling in. Any child crossing the handrail would fall into the weir pit."
45413,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Connahs Quay UK (75001386),HSSE (75001608),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,15/05/2024,Damage to kerb by vehicle.,Uniper employee,Safety,Near Hits,The kerb on the corner adjacent to unit 4's CW pumps has been damaged by a vehicle. This has been reported by TEI safety support.,Closed,Unguarded moving machinery,Reported to outage safety support team. Defect raised. 21521798,Investigated,15/05/2024,1764720000000.0,No,12/03/2025,1.0,19/05/2025 12:06,12/06/2025 10:05,Low,Low Risk,Not Applicable,Low,26,129,155,5,25,30,0,Damage to kerb by vehicle.. The kerb on the corner adjacent to unit 4's CW pumps has been damaged by a vehicle. This has been reported by TEI safety support.
53718,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Connahs Quay UK (75001386),Production (75001609),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,05/03/2025,Unit 1 Cooling Tower Fan A1 Drive shaft rotation.,Uniper employee,Process Safety,Near Hits,"Work in progress was the exchange of the cooling tower fan  motor, during the work the drive shaft from the motor to the gearbox began to slowly rotate",Processing,Uncontrolled moving object,Area was made safe and work stopped.,Not investigated,06/03/2025,1764720000000.0,-- Not selected --,,1.0,12/03/2025 12:05,03/04/2025 10:04,Very low,Low Risk,Not Applicable,Low,49,151,200,9,28,37,1,"Unit 1 Cooling Tower Fan A1 Drive shaft rotation.. Work in progress was the exchange of the cooling tower fan  motor, during the work the drive shaft from the motor to the gearbox began to slowly rotate"
53406,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Energy Assets Services (75000935),Asset Support UK & SW (75001015),Asset Support UK 1 (75001143),28099,TOB,UK,UK,Travel,Travel for business,,,17/02/2025,Minor RTA,Uniper employee,Safety,Near Hits,"Location = M25 J25 4 lane roundabout above M25 from Enfield.

Parked up on inside lane of roundabout with handbrake on waiting for lights to change.

Observed odd activity from girl in car behind during queuing for a while to get to my parked position.

Watched her in rear view mirror engaging with a passenger in the back seat of her car – she turned around throwing a coat or something, and, I can only assume, let her foot off the clutch and drove into the back of me, so no handbrake on.

She immediately held her hands to her face in shock.

I gestured to acknowledge I had felt it!

My back felt the impact in 3 places – coccyx area, below shoulder and neck – all is OK for now, but my coccyx does still feel like it has been impacted. I will monitor to see if it doesn’t resolve itself.",Processing,Moving vehicle,"I got out of the car to indicate for her to follow me to a safer area, rather than hold traffic up and risk cars hitting us – the traffic lights began to change at this time so no time to get details or reg.

She then backed up and shot across the 3 additional lanes and left the roundabout in a lane she wasn’t positioned to take – prompting lots of horns and an annoyed driver to chase after her.

I exited on to the M25 because I could not get across to pursue.

Car drove (and still does) OK and on Inspection showed no damage from the impact.",Investigated,21/02/2025,1764720000000.0,-- Not selected --,,1.0,12/03/2025 18:05,13/03/2025 10:04,Low,Medium Risk,Not Applicable,Low,9,794,803,2,153,155,0,"Minor RTA. Location = M25 J25 4 lane roundabout above M25 from Enfield.

Parked up on inside lane of roundabout with handbrake on waiting for lights to change.

Observed odd activity from girl in car behind during queuing for a while to get to my parked position.

Watched her in rear view mirror engaging with a passenger in the back seat of her car – she turned around throwing a coat or something, and, I can only assume, let her foot off the clutch and drove into the back of me, so no handbrake on.

She immediately held her hands to her face in shock.

I gestured to acknowledge I had felt it!

My back felt the impact in 3 places – coccyx area, below shoulder and neck – all is OK for now, but my coccyx does still feel like it has been impacted. I will monitor to see if it doesn’t resolve itself."
