dataset,model,model_full,accuracy,f1_weighted,f1_macro,precision_non_ps,recall_non_ps,f1_non_ps,support_non_ps,precision_ps,recall_ps,f1_ps,support_ps,training_time,confusion_matrix,pkl_file,subsampled
uk,bert-base-cased,bert-base-cased,0.7894230769230769,0.7928442969041875,0.777473598438329,0.8762376237623762,0.7866666666666666,0.8290398126463701,675,0.6682027649769585,0.7945205479452054,0.7259073842302879,365,0.9114229679107666,"[[531, 144], [75, 290]]",uk_bert-base-cased_embeddings.pkl,False
germany,bert-base-cased,bert-base-cased,0.7821809237496584,0.8113329635307671,0.6695791932389017,0.9534528805799313,0.7873345935727788,0.8624676445211388,3174,0.34971098265895956,0.7484536082474227,0.47669074195666455,485,4.629277229309082,"[[2499, 675], [122, 363]]",germany_bert-base-cased_embeddings.pkl,False
sweden,bert-base-cased,bert-base-cased,0.786950074147306,0.8356237024428333,0.5911366269813916,0.9730081300813008,0.7934234950941395,0.874087058136138,3771,0.19773429454170957,0.6981818181818182,0.3081861958266453,275,5.783823013305664,"[[2992, 779], [83, 192]]",sweden_bert-base-cased_embeddings.pkl,False
english,bert-base-cased,bert-base-cased,0.7752380952380953,0.7790064159699244,0.7643196274766411,0.8681135225375626,0.7680945347119645,0.8150470219435736,677,0.6518847006651884,0.7882037533512064,0.7135922330097086,373,1.0048141479492188,"[[520, 157], [79, 294]]",english_bert-base-cased_embeddings.pkl,False
netherlands,bert-base-cased,bert-base-cased,0.755859375,0.7586487831349329,0.7381931234787589,0.8333333333333334,0.7807807807807807,0.806201550387597,333,0.635,0.7094972067039106,0.6701846965699209,179,0.45028114318847656,"[[260, 73], [52, 127]]",netherlands_bert-base-cased_embeddings.pkl,False
uk,bert-large-cased,bert-large-cased,0.8365384615384616,0.8373111211974957,0.8223408403037087,0.8831562974203339,0.8622222222222222,0.8725637181409295,675,0.7559055118110236,0.7890410958904109,0.772117962466488,365,1.6731629371643066,"[[582, 93], [77, 288]]",uk_bert-large-cased_embeddings.pkl,False
germany,bert-large-cased,bert-large-cased,0.7947526646624761,0.8206935955739244,0.6792023922861264,0.9518836255128683,0.8040327662255828,0.8717335610589241,3174,0.36400817995910023,0.734020618556701,0.48667122351332875,485,9.867195129394531,"[[2552, 622], [129, 356]]",germany_bert-large-cased_embeddings.pkl,False
sweden,bert-large-cased,bert-large-cased,0.8183391003460208,0.8569574362573259,0.6171533468329518,0.9731920199501247,0.8278971095200213,0.8946840521564695,3771,0.22553699284009546,0.6872727272727273,0.33962264150943394,275,13.921560764312744,"[[3122, 649], [86, 189]]",sweden_bert-large-cased_embeddings.pkl,False
english,bert-large-cased,bert-large-cased,0.8438095238095238,0.8457794255223312,0.8342630770474574,0.9104,0.8404726735598228,0.8740399385560677,677,0.7458823529411764,0.8498659517426274,0.7944862155388471,373,1.631760835647583,"[[569, 108], [56, 317]]",english_bert-large-cased_embeddings.pkl,False
netherlands,bert-large-cased,bert-large-cased,0.84375,0.8433336495488659,0.8273041571802007,0.8753709198813057,0.8858858858858859,0.8805970149253731,333,0.7828571428571428,0.7653631284916201,0.7740112994350282,179,0.9833781719207764,"[[295, 38], [42, 137]]",netherlands_bert-large-cased_embeddings.pkl,False
uk,roberta-base,roberta-base,0.8125,0.8152931936967377,0.8010982749100382,0.8908794788273615,0.8103703703703704,0.8487199379363848,675,0.6995305164319249,0.8164383561643835,0.7534766118836915,365,0.3904409408569336,"[[547, 128], [67, 298]]",uk_roberta-base_embeddings.pkl,False
germany,roberta-base,roberta-base,0.7810877288876742,0.8105845978187761,0.6691994274877011,0.9540757749712974,0.7854442344045368,0.8615863141524106,3174,0.3489483747609943,0.7525773195876289,0.47681254082299157,485,2.1433956623077393,"[[2493, 681], [120, 365]]",germany_roberta-base_embeddings.pkl,False
sweden,roberta-base,roberta-base,0.7558082056351952,0.8146673194491466,0.5776034232583932,0.9793317258008957,0.7539114293290904,0.8519628408750375,3771,0.18810148731408574,0.7818181818181819,0.30324400564174897,275,2.3966572284698486,"[[2843, 928], [60, 215]]",sweden_roberta-base_embeddings.pkl,False
english,roberta-base,roberta-base,0.8095238095238095,0.8128631511422517,0.8007779148088416,0.9021922428330523,0.7902511078286558,0.8425196850393701,677,0.6892778993435449,0.8445040214477212,0.7590361445783131,373,0.40027499198913574,"[[535, 142], [58, 315]]",english_roberta-base_embeddings.pkl,False
netherlands,roberta-base,roberta-base,0.716796875,0.7229077677754089,0.7057972680042641,0.8381294964028777,0.6996996996996997,0.7626841243862521,333,0.5726495726495726,0.7486033519553073,0.648910411622276,179,0.22476816177368164,"[[233, 100], [45, 134]]",netherlands_roberta-base_embeddings.pkl,False
uk,roberta-large,roberta-large,0.8423076923076923,0.8435502512169352,0.8297933490074605,0.8948995363214838,0.8577777777777778,0.875945537065053,675,0.7557251908396947,0.8136986301369863,0.7836411609498681,365,1.6630868911743164,"[[579, 96], [68, 297]]",uk_roberta-large_embeddings.pkl,False
germany,roberta-large,roberta-large,0.801858431265373,0.8267407357238578,0.6893515844120197,0.9557126907331597,0.8090737240075614,0.8763009725302849,3174,0.3765432098765432,0.7546391752577319,0.5024021962937544,485,8.100057125091553,"[[2568, 606], [119, 366]]",germany_roberta-large_embeddings.pkl,False
