dataset,model,model_full,accuracy,f1_weighted,f1_macro,precision_non_ps,recall_non_ps,f1_non_ps,support_non_ps,precision_ps,recall_ps,f1_ps,support_ps,training_time,confusion_matrix,pkl_file,subsampled
uk,bert-base-multilingual-uncased,google-bert/bert-base-multilingual-uncased,0.7874911158493249,0.7927059358702538,0.7658217666361438,0.8868360277136259,0.7925696594427245,0.8370572207084469,969,0.6284658040665434,0.776255707762557,0.6945863125638406,438,0.7906711101531982,"[[768, 201], [98, 340]]",uk_bert-base-multilingual-uncased_embeddings.pkl,False
germany,bert-base-multilingual-uncased,google-bert/bert-base-multilingual-uncased,0.7926882661996497,0.8221895074835305,0.6631114963434726,0.9552989934872705,0.8021377081779766,0.8720443183353601,4023,0.3310924369747899,0.7229357798165138,0.454178674351585,545,3.2904629707336426,"[[3227, 796], [151, 394]]",germany_bert-base-multilingual-uncased_embeddings.pkl,False
sweden,bert-base-multilingual-uncased,google-bert/bert-base-multilingual-uncased,0.7794224702742053,0.8315731610178018,0.5892657253521706,0.9772579597141,0.7819079802443463,0.8687364620938628,3847,0.1955896452540748,0.7445255474452555,0.30979498861047833,274,3.1791791915893555,"[[3008, 839], [70, 204]]",sweden_bert-base-multilingual-uncased_embeddings.pkl,False
english,bert-base-multilingual-uncased,google-bert/bert-base-multilingual-uncased,0.7932489451476793,0.7971560803545179,0.770011772601745,0.8787541713014461,0.8102564102564103,0.8431163287086447,975,0.6462715105162524,0.756152125279642,0.6969072164948454,447,0.7309260368347168,"[[790, 185], [109, 338]]",english_bert-base-multilingual-uncased_embeddings.pkl,False
netherlands,bert-base-multilingual-uncased,google-bert/bert-base-multilingual-uncased,0.7366771159874608,0.7452801420610493,0.7139043999103148,0.8666666666666667,0.7336343115124153,0.7946210268948655,443,0.5513307984790875,0.7435897435897436,0.6331877729257642,195,0.2856419086456299,"[[325, 118], [50, 145]]",netherlands_bert-base-multilingual-uncased_embeddings.pkl,False
uk,bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,0.7711442786069652,0.7760601915368042,0.7457072872839612,0.8663646659116648,0.7894736842105263,0.826133909287257,969,0.6106870229007634,0.730593607305936,0.6652806652806652,438,1.2433369159698486,"[[765, 204], [118, 320]]",uk_bert-base-multilingual-cased_embeddings.pkl,False
germany,bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,0.7865586690017513,0.8179797444421917,0.6602849386963738,0.9576576576576576,0.7926920208799404,0.8674010607915137,4023,0.3263327948303716,0.7412844036697248,0.45316881660123387,545,5.17049503326416,"[[3189, 834], [141, 404]]",germany_bert-base-multilingual-cased_embeddings.pkl,False
sweden,bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,0.7978645959718514,0.8441358223976605,0.6027824033912139,0.9765970904490828,0.8027034052508448,0.8811528035383078,3847,0.20855057351407716,0.7299270072992701,0.32441200324412006,274,5.778011083602905,"[[3088, 759], [74, 200]]",sweden_bert-base-multilingual-cased_embeddings.pkl,False
english,bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,0.779887482419128,0.7849735433731848,0.7578478849515491,0.8778538812785388,0.7887179487179488,0.8309022150189087,975,0.6227106227106227,0.7606263982102909,0.6847935548841895,447,1.567317008972168,"[[769, 206], [107, 340]]",english_bert-base-multilingual-cased_embeddings.pkl,False
netherlands,bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,0.7648902821316614,0.7723092024549773,0.7435608862021287,0.8865435356200527,0.7584650112866818,0.8175182481751825,443,0.5868725868725869,0.7794871794871795,0.6696035242290749,195,0.43932199478149414,"[[336, 107], [43, 152]]",netherlands_bert-base-multilingual-cased_embeddings.pkl,False
uk,intfloat/multilingual-e5-base,intfloat/multilingual-e5-base,0.8009950248756219,0.8054195426031897,0.7793148880105403,0.8919226393629124,0.8090815273477813,0.8484848484848485,969,0.6496212121212122,0.7831050228310502,0.710144927536232,438,1.3580412864685059,"[[784, 185], [95, 343]]",uk_intfloat_multilingual-e5-base_embeddings.pkl,False
germany,intfloat/multilingual-e5-base,intfloat/multilingual-e5-base,0.8045096322241682,0.8317218855976194,0.6783276923514878,0.9594832648267763,0.8123291076311211,0.8797953964194374,4023,0.3502581755593804,0.7467889908256881,0.47685998828353837,545,6.7327258586883545,"[[3268, 755], [138, 407]]",germany_intfloat_multilingual-e5-base_embeddings.pkl,False
sweden,intfloat/multilingual-e5-base,intfloat/multilingual-e5-base,0.8182479980587236,0.8585446521431824,0.6266928887876728,0.9801611903285803,0.821939173381856,0.8941043404495971,3847,0.2346368715083799,0.7664233576642335,0.3592814371257485,274,6.1180970668792725,"[[3162, 685], [64, 210]]",sweden_intfloat_multilingual-e5-base_embeddings.pkl,False
english,intfloat/multilingual-e5-base,intfloat/multilingual-e5-base,0.8263009845288326,0.829192741177754,0.805702779475747,0.9,0.84,0.8689655172413793,975,0.6953125,0.796420581655481,0.7424400417101148,447,1.4484443664550781,"[[819, 156], [91, 356]]",english_intfloat_multilingual-e5-base_embeddings.pkl,False
netherlands,intfloat/multilingual-e5-base,intfloat/multilingual-e5-base,0.8495297805642633,0.8514622545140943,0.8274995775361911,0.9101654846335697,0.8690744920993227,0.8891454965357968,443,0.7302325581395349,0.8051282051282052,0.7658536585365855,195,0.5841970443725586,"[[385, 58], [38, 157]]",netherlands_intfloat_multilingual-e5-base_embeddings.pkl,False
uk,intfloat/multilingual-e5-large,intfloat/multilingual-e5-large,0.8081023454157783,0.8113582305972159,0.7843445582324757,0.8861878453038674,0.8276573787409701,0.8559231590181431,969,0.6673306772908366,0.7648401826484018,0.7127659574468084,438,2.335526943206787,"[[802, 167], [103, 335]]",uk_intfloat_multilingual-e5-large_embeddings.pkl,False
germany,intfloat/multilingual-e5-large,intfloat/multilingual-e5-large,0.8178633975481612,0.8425953307226437,0.6963067872177959,0.9644832605531295,0.823514789957743,0.8884419415392867,4023,0.3733451015004413,0.7761467889908257,0.5041716328963051,545,8.358452081680298,"[[3313, 710], [122, 423]]",germany_intfloat_multilingual-e5-large_embeddings.pkl,False
sweden,intfloat/multilingual-e5-large,intfloat/multilingual-e5-large,0.8374181024023295,0.8711056744282051,0.6396331843350259,0.9774571686203787,0.8453340265141669,0.9066071926400893,3847,0.2506297229219144,0.7262773722627737,0.3726591760299625,274,9.58413577079773,"[[3252, 595], [75, 199]]",sweden_intfloat_multilingual-e5-large_embeddings.pkl,False
english,intfloat/multilingual-e5-large,intfloat/multilingual-e5-large,0.8220815752461322,0.8246553428392782,0.7999471739450776,0.8923913043478261,0.8420512820512821,0.866490765171504,975,0.6932270916334662,0.7785234899328859,0.7334035827186512,447,2.2993757724761963,"[[821, 154], [99, 348]]",english_intfloat_multilingual-e5-large_embeddings.pkl,False
netherlands,intfloat/multilingual-e5-large,intfloat/multilingual-e5-large,0.8589341692789969,0.8602459700256643,0.8370083567989826,0.9114219114219114,0.8826185101580135,0.896788990825688,443,0.7511961722488039,0.8051282051282052,0.7772277227722773,195,2.473332166671753,"[[391, 52], [38, 157]]",netherlands_intfloat_multilingual-e5-large_embeddings.pkl,False
uk,intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,0.8244491826581379,0.8274661786162977,0.8028196424042535,0.8993362831858407,0.8390092879256966,0.8681260010678056,969,0.6898608349900597,0.7922374429223744,0.7375132837407015,438,2.3441221714019775,"[[813, 156], [91, 347]]",uk_intfloat_multilingual-e5-large-instruct_embeddings.pkl,False
germany,intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,0.8277145359019265,0.8500322386159397,0.7060230177637357,0.9644087256027555,0.8351976137211037,0.895164513121087,4023,0.38837638376383765,0.7724770642201835,0.5168815224063843,545,10.518571853637695,"[[3360, 663], [124, 421]]",germany_intfloat_multilingual-e5-large-instruct_embeddings.pkl,False
sweden,intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,0.8446978888619268,0.8772297592614758,0.6595586488914591,0.9840024147298521,0.8474135690148168,0.9106145251396649,3847,0.27351485148514854,0.8065693430656934,0.40850277264325324,274,10.975534915924072,"[[3260, 587], [53, 221]]",sweden_intfloat_multilingual-e5-large-instruct_embeddings.pkl,False
english,intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,0.820675105485232,0.8231060349963703,0.7979387647634093,0.8896103896103896,0.8430769230769231,0.8657187993680884,975,0.6927710843373494,0.7718120805369127,0.7301587301587302,447,2.2353689670562744,"[[822, 153], [102, 345]]",english_intfloat_multilingual-e5-large-instruct_embeddings.pkl,False
netherlands,intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,0.8620689655172413,0.8624563542670117,0.8384382517812539,0.9043280182232346,0.8961625282167043,0.9002267573696144,443,0.7688442211055276,0.7846153846153846,0.7766497461928934,195,2.0950441360473633,"[[397, 46], [42, 153]]",netherlands_intfloat_multilingual-e5-large-instruct_embeddings.pkl,False
