dataset,model,classifier,accuracy,f1_ps,f1_nps,macro_f1,precision_ps,recall_ps,precision_nps,recall_nps,TN,FP,FN,TP,fpr,fnr,roc_auc,training_time
netherlands,efederici/e5-base-multilingual-4096,SVM,0.8605015673981191,0.7769423558897244,0.8985176738882553,0.8377300148889899,0.7598039215686274,0.7948717948717948,0.9078341013824884,0.8893905191873589,394,49,40,155,0.11060948081264109,0.20512820512820512,0.8658505527580019,13.85868787765503
netherlands,efederici/e5-base-multilingual-4096,Random_Forest,0.8589341692789969,0.7540983606557378,0.9010989010989011,0.8275986308773194,0.8070175438596491,0.7076923076923077,0.8779443254817987,0.9255079006772009,410,33,57,138,0.0744920993227991,0.2923076923076923,0.9207964345661863,1.4569029808044434
netherlands,efederici/e5-base-multilingual-4096,XGBoost,0.8557993730407524,0.7688442211055275,0.8952164009111617,0.8320303110083447,0.7536945812807881,0.7846153846153846,0.903448275862069,0.8871331828442438,393,50,42,153,0.11286681715575621,0.2153846153846154,0.9273600740869364,5.442523002624512
netherlands,efederici/e5-base-multilingual-4096,LightGBM,0.8714733542319749,0.7908163265306123,0.9072398190045249,0.8490280727675685,0.7868020304568528,0.7948717948717948,0.909297052154195,0.9051918735891648,401,42,40,155,0.09480812641083522,0.20512820512820512,0.9316084968455172,3.1395819187164307
sweden,efederici/e5-base-multilingual-4096,SVM,0.8313516136859985,0.367606915377616,0.9027019459610808,0.6351544306693484,0.24484848484848484,0.7372262773722628,0.9781553398058253,0.8380556277618924,3224,623,72,202,0.16194437223810762,0.26277372262773724,0.8716200319141467,11.448107957839966
sweden,efederici/e5-base-multilingual-4096,Random_Forest,0.9572919194370298,0.6704119850187267,0.9771665801764401,0.8237892825975834,0.6884615384615385,0.6532846715328468,0.9753949753949754,0.9789446321809202,3766,81,95,179,0.021055367819079802,0.3467153284671533,0.9459086519213948,18.546375036239624
sweden,efederici/e5-base-multilingual-4096,XGBoost,0.9572919194370298,0.6728624535315985,0.9771547248182761,0.8250085891749372,0.6856060606060606,0.6605839416058394,0.9758879958516982,0.9784247465557577,3764,83,93,181,0.021575253444242267,0.33941605839416056,0.9447759084242343,10.367063999176025
sweden,efederici/e5-base-multilingual-4096,LightGBM,0.9611744722154817,0.6969696969696969,0.9792584910552243,0.8381140940124606,0.7244094488188977,0.6715328467153284,0.9767261442979054,0.9818040031193137,3777,70,90,184,0.01819599688068625,0.3284671532846715,0.9397852910315934,6.586158752441406
english,efederici/e5-base-multilingual-4096,SVM,0.8164556962025317,0.7255520504731862,0.8621236133122028,0.7938378318926944,0.6845238095238095,0.7718120805369127,0.8888888888888888,0.8369230769230769,816,159,102,345,0.16307692307692306,0.22818791946308725,0.8765100671140941,3.7014310359954834
english,efederici/e5-base-multilingual-4096,Random_Forest,0.8952180028129395,0.8219832735961767,0.9257598405580468,0.8738715570771118,0.882051282051282,0.7695749440715883,0.9001937984496124,0.9528205128205128,929,46,103,344,0.04717948717948718,0.23042505592841164,0.9453588022715539,3.707664966583252
english,efederici/e5-base-multilingual-4096,XGBoost,0.90014064697609,0.835648148148148,0.9282828282828284,0.8819654882154881,0.8657074340527577,0.8076062639821029,0.9144278606965174,0.9425641025641026,919,56,86,361,0.057435897435897436,0.19239373601789708,0.9466987896518098,6.58604621887207
english,efederici/e5-base-multilingual-4096,LightGBM,0.9029535864978903,0.8406466512702078,0.9302325581395349,0.8854396047048714,0.8687350835322196,0.814317673378076,0.9172482552342971,0.9435897435897436,920,55,83,364,0.05641025641025641,0.18568232662192394,0.9444180577066483,3.4408609867095947
uk,efederici/e5-base-multilingual-4096,SVM,0.8038379530916845,0.7130977130977132,0.8509719222462204,0.7820348176719668,0.6545801526717557,0.7831050228310502,0.8924122310305775,0.8132094943240454,788,181,95,343,0.1867905056759546,0.21689497716894976,0.8707724858749074,2.9038009643554688
uk,efederici/e5-base-multilingual-4096,Random_Forest,0.8834399431414357,0.8052256532066508,0.9168356997971603,0.8610306765019056,0.8391089108910891,0.773972602739726,0.901296111665005,0.932920536635707,904,65,99,339,0.06707946336429309,0.22602739726027396,0.9388992559292403,3.4864981174468994
uk,efederici/e5-base-multilingual-4096,XGBoost,0.8969438521677328,0.833906071019473,0.9252962390520351,0.8796011550357541,0.8367816091954023,0.8310502283105022,0.9238683127572016,0.9267285861713106,898,71,74,364,0.07327141382868937,0.1689497716894977,0.9329382077272148,6.478682994842529
uk,efederici/e5-base-multilingual-4096,LightGBM,0.8898365316275764,0.8212226066897347,0.9203903441191578,0.8708064754044462,0.8298368298368298,0.8127853881278538,0.9161554192229039,0.9246646026831785,896,73,82,356,0.07533539731682147,0.1872146118721461,0.9327025931737751,3.381943941116333
germany,efederici/e5-base-multilingual-4096,SVM,0.8218038528896673,0.5,0.8915823122003197,0.6957911561001598,0.37580794090489383,0.7467889908256881,0.9604017216642755,0.8319661943823018,3347,676,138,407,0.16803380561769823,0.25321100917431194,0.8651841361711443,8.431578874588013
germany,efederici/e5-base-multilingual-4096,Random_Forest,0.9577495621716288,0.8109696376101861,0.9762168823166975,0.8935932599634417,0.8697478991596639,0.7596330275229358,0.9679863147605083,0.9845886154610987,3961,62,131,414,0.015411384538901318,0.24036697247706423,0.9591716893915034,17.89559006690979
germany,efederici/e5-base-multilingual-4096,XGBoost,0.9529334500875657,0.8025711662075298,0.9732819684354418,0.8879265673214858,0.8033088235294118,0.8018348623853211,0.9731610337972167,0.9734029331344768,3916,107,108,437,0.026597066865523242,0.1981651376146789,0.9560684322029066,10.118153095245361
