Original_Hazard,Classified_Category,Confidence,Hazard_Length
Impact with a hand tool,Other,0.85,23
Impact with an animal,Other,0.85,21
Hazardous Substance Chemical / Materials,Toxic Release,0.85,40
Unstable load,Other,0.85,13
Sweden Hazard,Toxic Release,0.85,13
Impact on residents in the local neighbourhood,Fire/Explosion,0.85,46
"Toxic substance or CMR substance (carcinogenic, mutagenic, reproduction toxic)",Toxic Release,0.85,78
Trip without external influences,Other,0.85,32
Restrictive PPE,Other,0.85,15
Exposure to a hot environment,Temperature Deviation,0.85,29
Temperature Extreme,Temperature Deviation,0.85,19
Vehicle criminal damage or arson,Other,0.85,32
Exposure to ultraviolet rays,Other,0.85,28
Noise (Occupational),Other,0.85,20
Environmental,Toxic Release,0.85,13
Electrical Explosion,Fire/Explosion,0.85,20
Contact with a cold surface,Temperature Deviation,0.85,27
-- Not selected --,Toxic Release,0.85,18
Impact with a cyclist,Other,0.85,21
Loss of control,Process Deviation,0.85,15
Acts against a person,Other,0.85,21
Compressor failure,Other,0.85,18
Other surface in environment,Other,0.85,28
Light,Other,0.85,5
Notification record,Other,0.85,19
"Presence of volatile fumes, gases and vapours",Toxic Release,0.85,45
Computer Access Breach,Other,0.85,22
Repetitive Strain Injury,Process Deviation,0.85,24
Other criminal damage or arson,Other,0.85,30
Drowning (in confined space),Other,0.85,28
Legal,Other,0.85,5
Overheating / Fire,Temperature Deviation,0.85,18
Inadequate deletion of data,Other,0.85,27
PPE Defect,Other,0.85,10
Loss of Power,Other,0.85,13
Schweden: Sonderliste,Other,0.85,21
Release of substances that affect ecosystems ,Toxic Release,0.85,45
Overturning,Other,0.85,11
Trapping,Other,0.85,8
Twisting/stooping/reaching,Other,0.85,26
Glare,Other,0.85,5
Lighting (Occupational: Insufficient or excessive),Other,0.85,50
Unguarded moving machinery,Other,0.85,26
Exposure to carcinogens,Toxic Release,0.85,23
Health related hazard (See causes),Toxic Release,0.85,34
Information Security (Observations Only),Other,0.85,40
Insufficient oxygen,Other,0.85,19
Incorrect Posture,Other,0.85,17
Free Flowing solids,Leak/Spill,0.85,19
Poor work area design,Other,0.85,21
Damage to pollution control infrastructure,Other,0.85,42
Data Storage and Handling,Other,0.85,25
Loss of integrity,Corrosion/Degradation,0.85,17
Explosion,Fire/Explosion,0.85,9
"Manual handling - Load (Weight, size, stability, etc.)",Other,0.85,54
Insufficient Oxygen,Toxic Release,0.85,19
Vertical fall from above ground,Other,0.85,31
Dust / Particles,Other,0.85,16
Contact with a hot surface,Temperature Deviation,0.85,26
Release of Methane (CH4) into the atmosphere,Toxic Release,0.85,44
Impact with MWE,Other,0.85,15
Release of alkalis that change the pH balance of land,Toxic Release,0.85,53
Chemical Reaction / Intrinsic Properties,Toxic Release,0.85,40
"Environmental noise & vibration (Inc. complaints, technical breaches or affecting ecosystems)",Other,0.85,93
Security settings disabled,Other,0.85,26
Exposure to caustic substances,Toxic Release,0.85,30
Loss of Control,Process Deviation,0.85,15
Manual handling - Task design,Other,0.85,29
Monitoring and Reporting,Control System Issue,0.85,24
Electric shock (in a confined space),Other,0.85,36
Release of Carbon Monoxide (CO) into the atmosphere,Toxic Release,0.85,51
Incorrect disposal of waste,Other,0.85,27
Assault,Other,0.85,7
Restricted Space,Other,0.85,16
"Dust (Inc. complaints, technical breaches or affecting ecosystems)",Toxic Release,0.85,66
Exposure to corrosive substances,Other,0.85,32
Moving vehicle,Other,0.85,14
Arcing / Flashover,Fire/Explosion,0.85,18
Loss of containment,Toxic Release,0.85,19
"Hazardous organism biological (Eg virus, bacteria, parasites, animal bites and stings)",Toxic Release,0.85,86
Ionising radiation,Toxic Release,0.85,18
Cutting,Other,0.85,7
Strenuous pushing or pulling,Other,0.85,28
Vibration,Other,0.85,9
Hazardous Substance Biological,Toxic Release,0.85,30
"Water (Inc. excess volume, lack of, uncontrolled release or excess use)",Other,0.85,71
Inadequate ventilation,Other,0.85,22
Chemical,Toxic Release,0.85,8
"Hazardous substance, which is non-toxic, non-CMR substance (carcinogenic, mutagenic, reproduction toxic)",Toxic Release,0.85,104
Fall from Height,Other,0.85,16
Entanglement,Other,0.85,12
"Exposure to gases, fumes and vapours",Toxic Release,0.85,36
Operating/working equipment not tested,Other,0.85,38
Filter failure,Process Deviation,0.85,14
Animal bite or agressive act,Other,0.85,28
Release of alkalis that change the pH balance of water,Toxic Release,0.85,54
Over Pressurisation,Pressure Deviation,0.85,19
Mechanical/Material Failure,Other,0.85,27
Slip / Trip / Fall (at the same floor level and on stairs),Other,0.85,58
Striking into an object,Other,0.85,23
Exposure to volatile substances,Toxic Release,0.85,31
Dust/Particles,Other,0.85,14
Exposure to bacteria,Toxic Release,0.85,20
Physical Security Event,Other,0.85,23
Sharp Edge: In the work environment,Other,0.85,35
No PPE worn,Other,0.85,11
Health,Toxic Release,0.85,6
Fall from height (Eg. Vertical drops from above or to below ground),Other,0.85,67
Computer access left unsecured,Other,0.85,30
